index,x1
1,37567
2,23862
3,77756
4,248609
5,354347
6,343100
7,261263
8,119096
9,101654
10,87612
11,79591
12,60879
13,32179
14,10609
15,34709
16,99819
17,230460
18,303594
19,253442
20,132154
21,120802
22,122491
23,171805
24,126679
25,50758
26,40505
27,99052
28,237478
29,462116
30,381626
31,248739
32,118333
33,135974
34,146392
35,150264
36,127205
37,60827
38,33866
39,83264
40,172885
41,255512
42,301418
43,269407
44,157963
45,183187
46,134032
47,105119
48,98379
49,54849
50,40802
51,153141
52,426347
53,528777
54,484724
55,321477
56,143653
57,195485
58,213067
59,150603
60,106656
61,57763
62,33003
63,61378
64,173384
65,304863
66,354308
67,262239
68,180813
69,180074
70,160106
71,130829
72,116239
73,79499
74,32457
75,72464
76,226430
77,442075
78,452668
79,315077
80,171581
81,134972
82,177639
83,217754
84,145558
85,77412
86,38654
87,61225
88,112898
89,211189
90,308789
91,277680
92,173367
93,218880
94,263311
95,130280
96,78750
97,34800
98,13306
99,28856
100,116941
101,387135
102,423018
103,377629
104,225058
105,231775
106,199938
107,184396
108,153086
